,SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE,SCH_TYPE_TEXT,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED,address,block,city,coordinates,county_fips,geocoded_address,id,is_exact,is_match,latitude,longitude,returned_address,side,state,state_fips,tiger_line,tract,zipcode
1414,2017-2018,42,PENNSYLVANIA,PA,E M Crouthamel El Sch,Souderton Area SD,1,,PA-123467103,4221870,PA-123467103-3357,422187003357,4203357,143 S School Ln,,,Souderton,PA,18964,1288.0,143 S School Ln,,,Souderton,PA,18964,1288.0,(215)723-5949,http://www.soudertonsd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,143 S School Ln,1000,Souderton,"-75.31137,40.311913",091,"143 S School Ln, Souderton, PA, 18964",1414,Non_Exact,Match,40.311913,-75.31137,"143 S SCHOOL LN, SOUDERTON, PA, 18964",R,PA,42,135125460,207202,18964
1415,2017-2018,42,PENNSYLVANIA,PA,West Broad Street El Sch,Souderton Area SD,1,,PA-123467103,4221870,PA-123467103-4900,422187004900,4204900,342 W Broad St,,,Souderton,PA,18964,2099.0,342 W Broad St,,,Souderton,PA,18964,2099.0,(215)723-1711,http://www.soudertonsd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,342 W Broad St,,Souderton,,,"342 W Broad St, Souderton, PA, 18964",1415,,Tie,,,,,PA,,,,18964
1416,2017-2018,42,PENNSYLVANIA,PA,Salford Hills El Sch,Souderton Area SD,1,,PA-123467103,4221870,PA-123467103-8282,422187007497,4207497,2721 Barndt Rd,,,Harleysville,PA,19438,1198.0,2721 Barndt Rd,,,Harleysville,PA,19438,1198.0,(610)287-9197,http://www.soudertonsd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,2721 Barndt Rd,1011,Harleysville,"-75.436935,40.309803",091,"2721 Barndt Rd, Harleysville, PA, 19438",1416,Exact,Match,40.309803,-75.436935,"2721 BARNDT RD, HARLEYSVILLE, PA, 19438",L,PA,42,135066567,207500,19438
1417,2017-2018,42,PENNSYLVANIA,PA,Oak Ridge El Sch,Souderton Area SD,1,,PA-123467103,4221870,PA-123467103-7262,422187009965,4209965,465 Moyer Rd,,,Harleysville,PA,19438,2321.0,465 Moyer Rd,,,Harleysville,PA,19438,2321.0,(215)256-6633,http://www.soudertonsd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,465 Moyer Rd,3002,Harleysville,"-75.38619,40.26632",091,"465 Moyer Rd, Harleysville, PA, 19438",1417,Exact,Match,40.26632,-75.38619,"465 MOYER RD, HARLEYSVILLE, PA, 19438",R,PA,42,605621524,207004,19438
1418,2017-2018,42,PENNSYLVANIA,PA,South Allegheny Early Childhood Ctr,South Allegheny SD,1,,PA-103028653,4221910,PA-103028653-0438,422191000438,4200438,1 Glendale Avenue,,,McKeesport,PA,15133,,1 Glendale Avenue,,,McKeesport,PA,15133,,(412)675-3070,http://www.southallegheny.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,120483302.0,Easton Area SD,,,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,KG,01,Elementary,As reported,1 Glendale Avenue,1003,McKeesport,"-79.8498,40.321285",003,"1 Glendale Avenue, McKeesport, PA, 15133",1418,Non_Exact,Match,40.321285,-79.8498,"1 GLENDALE DR, MCKEESPORT, PA, 15133",L,PA,42,51678162,498000,15133
1419,2017-2018,42,PENNSYLVANIA,PA,South Allegheny El Sch,South Allegheny SD,1,,PA-103028653,4221910,PA-103028653-7751,422191000693,4200693,1707 Washington Boulevard,,,Port Vue,PA,15133,,1707 Washington Boulevard,,,Port Vue,PA,15133,,(412)675-3070,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,999999999.0,Pennsylvania Deparment of Education,,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,02,06,Elementary,As reported,1707 Washington Boulevard,3020,Port Vue,"-79.880356,40.332542",003,"1707 Washington Boulevard, Port Vue, PA, 15133",1419,Non_Exact,Match,40.332542,-79.880356,"1707 WASHINGTON BLVD, MCKEESPORT, PA, 15133",L,PA,42,51660369,500300,15133
1420,2017-2018,42,PENNSYLVANIA,PA,South Butler Primary Sch,South Butler County SD,1,,PA-104107803,4221930,PA-104107803-7717,422193000645,4200645,328 Knoch Road,,,Saxonburg,PA,16056,9322.0,328 Knoch Road,,,Saxonburg,PA,16056,9322.0,(724)352-1700,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,KG,03,Elementary,As reported,328 Knoch Road,4025,Saxonburg,"-79.827614,40.745785",019,"328 Knoch Road, Saxonburg, PA, 16056",1420,Exact,Match,40.745785,-79.827614,"328 KNOCH RD, SAXONBURG, PA, 16056",R,PA,42,647524329,911501,16056
1421,2017-2018,42,PENNSYLVANIA,PA,South Butler Intermediate EL Sch,South Butler County SD,1,,PA-104107803,4221930,PA-104107803-7718,422193000646,4200646,340 Knoch Road,,,Saxonburg,PA,16056,9322.0,340 Knoch Road,,,Saxonburg,PA,16056,9322.0,(724)352-1700,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,04,05,Elementary,As reported,340 Knoch Road,4025,Saxonburg,"-79.82749,40.746582",019,"340 Knoch Road, Saxonburg, PA, 16056",1421,Exact,Match,40.746582,-79.82749,"340 KNOCH RD, SAXONBURG, PA, 16056",R,PA,42,647524329,911501,16056
1422,2017-2018,42,PENNSYLVANIA,PA,W.G. Rice El Sch,South Middleton SD,1,,PA-115218303,4222050,PA-115218303-1730,422205001730,4201730,805 Holly Pike,,,Mount Holly Springs,PA,17065,1910.0,805 Holly Pike,,,Mount Holly Springs,PA,17065,1910.0,(717)258-6484,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,KG,02,Elementary,As reported,805 Holly Pike,,Mount Holly Springs,,,"805 Holly Pike, Mount Holly Springs, PA, 17065",1422,,No_Match,,,,,PA,,,,17065
1423,2017-2018,42,PENNSYLVANIA,PA,Iron Forge El Sch,South Middleton SD,1,,PA-115218303,4222050,PA-115218303-8402,422205007629,4207629,4 Forge Rd,,,Boiling Springs,PA,17007,9523.0,4 Forge Rd,,,Boiling Springs,PA,17007,9523.0,(717)258-6484,,3,New,3,New,03/16/2018,1,Regular School,No,No,No,,,,,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,03,05,Elementary,As reported,4 Forge Rd,3069,Boiling Springs,"-77.13187,40.152073",041,"4 Forge Rd, Boiling Springs, PA, 17007",1423,Exact,Match,40.152073,-77.13187,"4 FORGE RD, BOILING SPGS, PA, 17007",L,PA,42,647951241,012502,17007
1424,2017-2018,42,PENNSYLVANIA,PA,South Park Elem Center,South Park SD,1,,PA-103028753,4222060,PA-103028753-7682,422206000583,4200583,2001 Eagle Pride Lane,,,South Park,PA,15129,8885.0,2001 Eagle Pride Lane,,,South Park,PA,15129,8885.0,(412)655-3111,http://spec.sparksd.org/,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported,2001 Eagle Pride Lane,,South Park,,,"2001 Eagle Pride Lane, South Park, PA, 15129",1424,,No_Match,,,,,PA,,,,15129
1425,2017-2018,42,PENNSYLVANIA,PA,Central El Sch,South Williamsport Area SD,1,,PA-117416103,4222140,PA-117416103-3054,422214003054,4203054,555 W Mountain Ave,,,South Williamsport,PA,17702,7507.0,555 W Mountain Ave,,,South Williamsport,PA,17702,7507.0,(570)323-3694,http://www.mounties.k12.pa.us,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported,555 W Mountain Ave,,South Williamsport,,,"555 W Mountain Ave, South Williamsport, PA, 17702",1425,,No_Match,,,,,PA,,,,17702
1426,2017-2018,42,PENNSYLVANIA,PA,Delta-Peach Bottom El Sch,South Eastern SD,1,,PA-112676203,4222170,PA-112676203-4599,422217004599,4204599,1081 Atom Rd,,,Delta,PA,17314,9101.0,1081 Atom Rd,,,Delta,PA,17314,9101.0,(717)456-5313,http://delta.sesdweb.net,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,PK,04,Elementary,As reported,1081 Atom Rd,1071,Delta,"-76.31797,39.730614",133,"1081 Atom Rd, Delta, PA, 17314",1426,Exact,Match,39.730614,-76.31797,"1081 ATOM RD, DELTA, PA, 17314",R,PA,42,611412628,024001,17314
1427,2017-2018,42,PENNSYLVANIA,PA,Stewartstown El Sch,South Eastern SD,1,,PA-112676203,4222170,PA-112676203-4600,422217004600,4204600,17945 Barrens Rd N,,,Stewartstown,PA,17363,7700.0,17945 Barrens Rd N,,,Stewartstown,PA,17363,7700.0,(717)993-2725,http://stew.sesdweb.net,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported,17945 Barrens Rd N,,Stewartstown,,,"17945 Barrens Rd N, Stewartstown, PA, 17363",1427,,No_Match,,,,,PA,,,,17363
1428,2017-2018,42,PENNSYLVANIA,PA,Fawn Area El Sch,South Eastern SD,1,,PA-112676203,4222170,PA-112676203-4601,422217004601,4204601,504 Main St,,,Fawn Grove,PA,17321,9516.0,504 Main St,,,Fawn Grove,PA,17321,9516.0,(717)382-4220,http://fawn.sesdweb.net,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported,504 Main St,,Fawn Grove,,,"504 Main St, Fawn Grove, PA, 17321",1428,,No_Match,,,,,PA,,,,17321
1429,2017-2018,42,PENNSYLVANIA,PA,Bobtown El Sch,Southeastern Greene SD,1,,PA-101306503,4222200,PA-101306503-2271,422220002271,4202271,PO Box 397,,,Bobtown,PA,15315,397.0,304 Grant St,,,Bobtown,PA,15315,397.0,(724)839-7241,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,304 Grant St,4024,Bobtown,"-79.98383,39.760105",059,"304 Grant St, Bobtown, PA, 15315",1429,Exact,Match,39.760105,-79.98383,"304 GRANT ST, BOBTOWN, PA, 15315",L,PA,42,51369323,970800,15315
1430,2017-2018,42,PENNSYLVANIA,PA,South Side El Sch,South Side Area SD,1,,PA-127047404,4222230,PA-127047404-6568,422223006568,4206568,4949 State Route 151,,,Hookstown,PA,15050,1439.0,4949 State Route 151,,,Hookstown,PA,15050,1439.0,(724)573-9581,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported,4949 State Route 151,,Hookstown,,,"4949 State Route 151, Hookstown, PA, 15050",1430,,No_Match,,,,,PA,,,,15050
1431,2017-2018,42,PENNSYLVANIA,PA,Hartman El Ctr,Southern Columbia Area SD,1,,PA-116197503,4222260,PA-116197503-6900,422226006900,4206900,802 Southern Drive,,,Catawissa,PA,17820,8410.0,802 Southern Drive,,,Catawissa,PA,17820,8410.0,(570)356-3250,http://www.scasd.us,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported,802 Southern Drive,1105,Catawissa,"-76.49147,40.90398",037,"802 Southern Drive, Catawissa, PA, 17820",1431,Exact,Match,40.90398,-76.49147,"802 SOUTHERN DR, CATAWISSA, PA, 17820",R,PA,42,59254701,051500,17820
1432,2017-2018,42,PENNSYLVANIA,PA,Southern Fulton El Sch,Southern Fulton SD,1,,PA-111297504,4222290,PA-111297504-7391,422229000093,4200093,3072 Great Cove Rd,,,Warfordsburg,PA,17267,9008.0,3072 Great Cove Rd,,,Warfordsburg,PA,17267,9008.0,(717)294-3400,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported,3072 Great Cove Rd,3018,Warfordsburg,"-78.20124,39.79482",057,"3072 Great Cove Rd, Warfordsburg, PA, 17267",1432,Exact,Match,39.79482,-78.20124,"3072 GREAT COVE RD, WARFORDSBURG, PA, 17267",R,PA,42,624726467,960300,17267
1433,2017-2018,42,PENNSYLVANIA,PA,Rockhill El Sch,Southern Huntingdon County SD,1,,PA-111317503,4222320,PA-111317503-2309,422232002309,4202309,PO Box 184,,,Rockhill Furnace,PA,17249,3631.0,510 Meadow St,,,Rockhill Furnace,PA,17249,3631.0,(814)447-5529,http://shcsd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,510 Meadow St,2036,Rockhill Furnace,"-77.89707,40.24129",061,"510 Meadow St, Rockhill Furnace, PA, 17249",1433,Exact,Match,40.24129,-77.89707,"510 MEADOW ST, ROCKHILL FURNACE, PA, 17249",R,PA,42,50606940,951200,17249
1434,2017-2018,42,PENNSYLVANIA,PA,Shade Gap El Sch,Southern Huntingdon County SD,1,,PA-111317503,4222320,PA-111317503-2310,422232002310,4202310,22251 Shade Valley Road,,,Shade Gap,PA,17255,9302.0,22251 Shade Valley Road,,,Shade Gap,PA,17255,9302.0,(814)447-5529,http://shcsd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,22251 Shade Valley Road,2012,Shade Gap,"-77.85971,40.185833",061,"22251 Shade Valley Road, Shade Gap, PA, 17255",1434,Exact,Match,40.185833,-77.85971,"22251 SHADE VALLEY RD, SHADE GAP, PA, 17255",R,PA,42,50608163,951100,17255
1435,2017-2018,42,PENNSYLVANIA,PA,Spring Farms El Sch,Southern Huntingdon County SD,1,,PA-111317503,4222320,PA-111317503-2312,422232002312,4202312,12075 Old Plank Road,,,Three Springs,PA,17264,9700.0,12075 Old Plank Road,,,Three Springs,PA,17264,9700.0,(814)447-5529,http://shcsd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,12075 Old Plank Road,4036,Three Springs,"-78.01184,40.197308",061,"12075 Old Plank Road, Three Springs, PA, 17264",1435,Exact,Match,40.197308,-78.01184,"12075 OLD PLANK RD, THREE SPRINGS, PA, 17264",R,PA,42,50613267,951200,17264
1436,2017-2018,42,PENNSYLVANIA,PA,Liberty Bell El Sch,Southern Lehigh SD,1,,PA-121395703,4222350,PA-121395703-8073,422235002838,4202838,960 W Oxford St,,,Coopersburg,PA,18036,,960 W Oxford St,,,Coopersburg,PA,18036,,(610)282-1850,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,KG,03,Elementary,As reported,960 W Oxford St,1011,Coopersburg,"-75.39547,40.51348",077,"960 W Oxford St, Coopersburg, PA, 18036",1436,Exact,Match,40.51348,-75.39547,"960 W OXFORD ST, COOPERSBURG, PA, 18036",R,PA,42,80778501,006902,18036
1437,2017-2018,42,PENNSYLVANIA,PA,Hopewell El Sch,Southern Lehigh SD,1,,PA-121395703,4222350,PA-121395703-8072,422235005240,4205240,4625 W Hopewell Rd,,,Center Valley,PA,18034,,4625 W Hopewell Rd,,,Center Valley,PA,18034,,(610)791-0200,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,KG,03,Elementary,As reported,4625 W Hopewell Rd,1008,Center Valley,"-75.42441,40.536476",077,"4625 W Hopewell Rd, Center Valley, PA, 18034",1437,Non_Exact,Match,40.536476,-75.42441,"4625 W HOPEWELL RD, CENTER VALLEY, PA, 18034",L,PA,42,80778089,006906,18034
1438,2017-2018,42,PENNSYLVANIA,PA,Southern Lehigh Intermediate Sch,Southern Lehigh SD,1,,PA-121395703,4222350,PA-121395703-8075,422235006967,4206967,5438 Route 378,,,Bethlehem,PA,18015,,5438 Route 378,,,Bethlehem,PA,18015,,(610)861-4040,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,04,06,Elementary,As reported,5438 Route 378,1052,Bethlehem,"-75.39587,40.542522",077,"5438 Route 378, Bethlehem, PA, 18015",1438,Non_Exact,Match,40.542522,-75.39587,"5438 STATE RTE 378, BETHLEHEM, PA, 18015",R,PA,42,635833460,006903,18015
1439,2017-2018,42,PENNSYLVANIA,PA,Liberty El Sch,Southern Tioga SD,1,,PA-117597003,4222370,PA-117597003-4062,422237004062,4204062,8622 Route 414,,,Liberty,PA,16930,9703.0,8622 Route 414,,,Liberty,PA,16930,9703.0,(570)324-2521,http://www.southerntioga.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,8622 Route 414,2055,Liberty,"-77.11124,41.558357",117,"8622 Route 414, Liberty, PA, 16930",1439,Non_Exact,Match,41.558357,-77.11124,"8622 STATE RTE 414, LIBERTY, PA, 16930",L,PA,42,632039832,951000,16930
1440,2017-2018,42,PENNSYLVANIA,PA,Blossburg El Sch,Southern Tioga SD,1,,PA-117597003,4222370,PA-117597003-4070,422237004070,4204070,133 Hannibal St,,,Blossburg,PA,16912,1148.0,133 Hannibal St,,,Blossburg,PA,16912,1148.0,(570)638-2146,http://www.southerntioga.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,133 Hannibal St,,Blossburg,,,"133 Hannibal St, Blossburg, PA, 16912",1440,,No_Match,,,,,PA,,,,16912
1441,2017-2018,42,PENNSYLVANIA,PA,Warren L Miller El Sch,Southern Tioga SD,1,,PA-117597003,4222370,PA-117597003-4839,422237004839,4204839,Dorsett Drive,,,Mansfield,PA,16933,,Dorsett Drive,,,Mansfield,PA,16933,,(570)662-2192,http://www.southerntioga.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,Dorsett Drive,,Mansfield,,,"Dorsett Drive, Mansfield, PA, 16933",1441,,No_Match,,,,,PA,,,,16933
1442,2017-2018,42,PENNSYLVANIA,PA,Shrewsbury El Sch,Southern York County SD,1,,PA-112676503,4222380,PA-112676503-7556,422238000357,4200357,PO Box 128,,,Glen Rock,PA,17327,128.0,331 S Main St,,,Shrewsbury,PA,17361,,(717)235-4811,http://www.sycsd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,331 S Main St,1025,Shrewsbury,"-76.67873,39.761974",133,"331 S Main St, Shrewsbury, PA, 17361",1442,Exact,Match,39.761974,-76.67873,"331 S MAIN ST, SHREWSBURY, PA, 17361",R,PA,42,88775868,023822,17361
1443,2017-2018,42,PENNSYLVANIA,PA,Friendship El Sch,Southern York County SD,1,,PA-112676503,4222380,PA-112676503-4613,422238004613,4204613,3457 Sticks Rd,,,Glen Rock,PA,17327,9320.0,3457 Sticks Rd,,,Glen Rock,PA,17327,9320.0,(717)235-4811,http://www.sycsd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,3457 Sticks Rd,4009,Glen Rock,"-76.76533,39.763683",133,"3457 Sticks Rd, Glen Rock, PA, 17327",1443,Exact,Match,39.763683,-76.76533,"3457 STICKS RD, GLEN ROCK, PA, 17327",R,PA,42,646976015,022500,17327
1444,2017-2018,42,PENNSYLVANIA,PA,Southern El Sch,Southern York County SD,1,,PA-112676503,4222380,PA-112676503-6692,422238006692,4206692,3280 Fissels Church Rd,PO Box 128,,Glen Rock,PA,17327,128.0,3280 Fissels Church Rd,,,Glen Rock,PA,17327,128.0,(717)235-4811,http://www.sycsd.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,3280 Fissels Church Rd,3066,Glen Rock,"-76.73661,39.766945",133,"3280 Fissels Church Rd, Glen Rock, PA, 17327",1444,Exact,Match,39.766945,-76.73661,"3280 FISSELS CHURCH RD, GLEN ROCK, PA, 17327",L,PA,42,88743741,023810,17327
1445,2017-2018,42,PENNSYLVANIA,PA,Darby Twp Sch,Southeast Delco SD,1,,PA-125238402,4222400,PA-125238402-1861,422240001861,4201861,801 Ashland Avenue,,,Glenolden,PA,19036,1625.0,801 Ashland Avenue,,,Glenolden,PA,19036,1625.0,(610)522-4375,http://www.sedelco.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,801 Ashland Avenue,2004,Glenolden,"-75.296715,39.908848",045,"801 Ashland Avenue, Glenolden, PA, 19036",1445,Non_Exact,Match,39.908848,-75.296715,"801 W ASHLAND AVE, GLENOLDEN, PA, 19036",R,PA,42,134883923,403002,19036
1446,2017-2018,42,PENNSYLVANIA,PA,Sharon Hill Sch,Southeast Delco SD,1,,PA-125238402,4222400,PA-125238402-1943,422240001943,4201943,701 Coates Street,,,Sharon Hill,PA,19079,1498.0,701 Coates Street,,,Sharon Hill,PA,19079,1498.0,(610)522-4355,http://www.sedelco.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,701 Coates Street,4000,Sharon Hill,"-75.26711,39.910378",045,"701 Coates Street, Sharon Hill, PA, 19079",1446,Exact,Match,39.910378,-75.26711,"701 COATES ST, SHARON HILL, PA, 19079",L,PA,42,134885382,402800,19079
1447,2017-2018,42,PENNSYLVANIA,PA,Southeast Delco Kindergarten Center,Southeast Delco SD,1,,PA-125238402,4222400,PA-125238402-7946,422240006023,4206023,1 School Ln,,,Glenolden,PA,19036,,1 School Ln,,,Glenolden,PA,19036,,(610)522-4365,http://www.sedelco.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,KG,KG,Elementary,As reported,1 School Ln,2004,Glenolden,"-75.29658,39.912975",045,"1 School Ln, Glenolden, PA, 19036",1447,Exact,Match,39.912975,-75.29658,"1 SCHOOL LN, GLENOLDEN, PA, 19036",R,PA,42,134883411,403002,19036
1448,2017-2018,42,PENNSYLVANIA,PA,Harris Sch,Southeast Delco SD,1,,PA-125238402,4222400,PA-125238402-6501,422240006501,4206501,501 Sharon Avenue,,,Collingdale,PA,19023,3498.0,501 Sharon Avenue,,,Collingdale,PA,19023,3498.0,(610)522-4370,http://www.sedelco.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,501 Sharon Avenue,2006,Collingdale,"-75.278175,39.914505",045,"501 Sharon Avenue, Collingdale, PA, 19023",1448,Exact,Match,39.914505,-75.278175,"501 SHARON AVE, COLLINGDALE, PA, 19023",R,PA,42,134884588,403103,19023
1449,2017-2018,42,PENNSYLVANIA,PA,Delcroft Sch,Southeast Delco SD,1,,PA-125238402,4222400,PA-125238402-6505,422240006505,4206505,799 School Lane,,,Folcroft,PA,19032,3498.0,799 School Lane,,,Folcroft,PA,19032,3498.0,(610)522-4360,http://www.sedelco.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,799 School Lane,1003,Folcroft,"-75.28145,39.88918",045,"799 School Lane, Folcroft, PA, 19032",1449,Exact,Match,39.88918,-75.28145,"799 SCHOOL LN, FOLCROFT, PA, 19032",L,PA,42,134885198,403402,19032
1450,2017-2018,42,PENNSYLVANIA,PA,Southmoreland Primary Center,Southmoreland SD,1,,PA-107657503,4222410,PA-107657503-7978,422241006029,4206029,1431 Water St,,,Alverton,PA,15612,232.0,1431 Water St,,,Alverton,PA,15612,232.0,(724)887-2026,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,KG,01,Elementary,As reported,1431 Water St,3039,Alverton,"-79.59235,40.13276",129,"1431 Water St, Alverton, PA, 15612",1450,Exact,Match,40.13276,-79.59235,"1431 WATER ST, ALVERTON, PA, 15612",L,PA,42,52978916,806500,15612
